order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,discount,shipping_cost,payment_method,region,traffic_source,device_type,order_status
ORD000001,CUST00147,2026-03-27,P0002,Smart Watch,Electronics,1,1499,0.05,0,UPI,Central,Social Media,Mobile,Completed
ORD000002,CUST00077,2025-10-10,P0002,Smart Watch,Electronics,1,2499,0.0,49,Debit Card,West,Social Media,Desktop,Returned
ORD000003,CUST00286,2026-07-16,P0003,Phone Case,Electronics,3,1499,0.0,99,UPI,North,Direct,Desktop,Completed
ORD000004,CUST00760,2025-08-22,P0011,Cushion Cover,Home,2,399,0.2,49,Wallet,West,Paid Ads,Desktop,Completed
ORD000005,CUST00485,2026-02-07,P0016,Lip Balm,Beauty,4,2499,0.2,0,UPI,West,Referral,Desktop,Completed
ORD000006,CUST00314,2026-06-28,P0018,Sunscreen,Beauty,4,299,0.15,79,Wallet,South,Organic Search,Desktop,Cancelled
ORD000007,CUST00030,2026-05-11,P0000,Wireless Earbuds,Electronics,4,299,0.0,49,UPI,East,Paid Ads,Mobile,Returned
ORD000008,CUST00473,2026-07-01,P0007,Denim Jacket,Fashion,2,1499,0.15,0,Debit Card,East,Direct,Mobile,Completed
ORD000009,CUST00076,2026-02-17,P0003,Phone Case,Electronics,4,2499,0.1,99,Cash on Delivery,East,Organic Search,Desktop,Returned
ORD000010,CUST00432,2025-09-23,P0003,Phone Case,Electronics,2,999,0.2,99,Cash on Delivery,Central,Social Media,Desktop,Completed
ORD000011,CUST00588,2025-08-22,P0018,Sunscreen,Beauty,1,399,0.05,49,Debit Card,South,Social Media,Mobile,Completed
ORD000012,CUST00345,2025-10-14,P0016,Lip Balm,Beauty,4,299,0.05,79,UPI,South,Referral,Mobile,Cancelled
ORD000013,CUST00244,2025-09-10,P0005,T-Shirt,Fashion,3,2499,0.1,0,Wallet,Central,Organic Search,Mobile,Completed
ORD000014,CUST00038,2026-01-30,P0007,Denim Jacket,Fashion,1,499,0.0,79,Debit Card,South,Social Media,Desktop,Returned
ORD000015,CUST00020,2025-09-07,P0023,Resistance Band,Sports,4,1499,0.15,99,Wallet,East,Social Media,Mobile,Completed
ORD000016,CUST00348,2025-10-26,P0014,Wall Clock,Home,1,499,0.05,0,Cash on Delivery,Central,Direct,Desktop,Completed
ORD000017,CUST00701,2026-01-20,P0005,T-Shirt,Fashion,3,399,0.0,99,Debit Card,East,Email,Desktop,Completed
ORD000018,CUST00198,2026-05-15,P0023,Resistance Band,Sports,2,1499,0.15,0,Credit Card,Central,Organic Search,Tablet,Completed
ORD000019,CUST00455,2026-04-23,P0004,Power Bank,Electronics,1,1499,0.0,49,Cash on Delivery,West,Referral,Mobile,Cancelled
ORD000020,CUST00540,2025-09-10,P0007,Denim Jacket,Fashion,4,699,0.2,0,Cash on Delivery,East,Organic Search,Desktop,Returned
ORD000021,CUST00048,2026-07-15,P0017,Hair Oil,Beauty,3,999,0.0,49,Cash on Delivery,North,Direct,Desktop,Completed
ORD000022,CUST00123,2026-03-08,P0012,Coffee Mug,Home,4,699,0.05,79,Wallet,East,Paid Ads,Mobile,Completed
ORD000023,CUST00273,2025-12-25,P0001,Bluetooth Speaker,Electronics,3,999,0.05,99,Credit Card,South,Organic Search,Mobile,Completed
ORD000024,CUST00530,2026-01-06,P0020,Yoga Mat,Sports,4,1999,0.15,0,Cash on Delivery,North,Paid Ads,Mobile,Completed
ORD000025,CUST00355,2026-06-25,P0005,T-Shirt,Fashion,4,1499,0.0,99,Credit Card,East,Referral,Mobile,Completed
ORD000026,CUST00578,2026-02-05,P0017,Hair Oil,Beauty,4,499,0.0,99,Credit Card,South,Referral,Mobile,Completed
ORD000027,CUST00687,2025-11-17,P0008,Backpack,Fashion,3,399,0.0,0,Wallet,South,Email,Mobile,Completed
ORD000028,CUST00593,2026-01-22,P0018,Sunscreen,Beauty,1,1499,0.0,99,Debit Card,North,Direct,Desktop,Returned
ORD000029,CUST00792,2025-09-13,P0022,Water Bottle,Sports,2,1499,0.05,99,Cash on Delivery,North,Referral,Mobile,Completed
ORD000030,CUST00590,2025-10-14,P0019,Face Wash,Beauty,3,499,0.1,0,Cash on Delivery,West,Social Media,Mobile,Returned
ORD000031,CUST00675,2025-12-12,P0023,Resistance Band,Sports,1,1999,0.2,0,Cash on Delivery,South,Direct,Desktop,Completed
ORD000032,CUST00659,2025-11-08,P0013,Storage Box,Home,1,699,0.0,79,Cash on Delivery,North,Email,Desktop,Completed
ORD000033,CUST00575,2025-12-25,P0001,Bluetooth Speaker,Electronics,2,499,0.0,49,UPI,Central,Paid Ads,Tablet,Completed
ORD000034,CUST00628,2025-09-12,P0013,Storage Box,Home,4,999,0.0,0,Cash on Delivery,Central,Email,Desktop,Cancelled
ORD000035,CUST00744,2026-03-30,P0011,Cushion Cover,Home,2,399,0.0,49,Cash on Delivery,North,Organic Search,Desktop,Completed
ORD000036,CUST00378,2025-10-01,P0017,Hair Oil,Beauty,4,1499,0.15,0,Debit Card,East,Email,Mobile,Completed
ORD000037,CUST00504,2025-11-07,P0006,Sneakers,Fashion,4,2499,0.1,99,UPI,West,Paid Ads,Mobile,Completed
ORD000038,CUST00410,2026-08-11,P0017,Hair Oil,Beauty,2,2499,0.05,0,Wallet,South,Organic Search,Mobile,Completed
