customer_id,signup_date,acquisition_channel,preferred_device,engagement_score
CUS0001,2025-05-06,Organic Search,Desktop,31.1
CUS0002,2024-11-20,Social Media,Desktop,19.5
CUS0003,2026-01-11,Paid Ads,Desktop,17.6
CUS0004,2024-11-14,Referral,Mobile,60.4
CUS0005,2026-06-06,Direct,Mobile,49.3
CUS0006,2025-05-12,Referral,Desktop,10.6
CUS0007,2025-11-01,Email,Tablet,93.9
CUS0008,2025-07-22,Referral,Mobile,24.9
CUS0009,2025-05-23,Direct,Mobile,32.1
CUS0010,2026-03-03,Social Media,Tablet,36.0
CUS0011,2026-06-17,Organic Search,Desktop,48.9
CUS0012,2025-07-23,Direct,Desktop,79.1
CUS0013,2024-09-22,Organic Search,Desktop,82.7
CUS0014,2025-12-30,Referral,Desktop,57.8
CUS0015,2025-06-25,Paid Ads,Tablet,45.5
CUS0016,2026-04-24,Paid Ads,Mobile,45.7
CUS0017,2025-11-23,Email,Mobile,17.7
CUS0018,2026-04-23,Referral,Desktop,36.6
CUS0019,2026-05-04,Direct,Mobile,23.5
CUS0020,2025-01-07,Organic Search,Desktop,8.8
CUS0021,2024-10-27,Paid Ads,Mobile,55.1
CUS0022,2024-10-14,Email,Desktop,59.1
CUS0023,2025-02-26,Paid Ads,Desktop,36.3
CUS0024,2026-04-13,Paid Ads,Mobile,90.6
CUS0025,2024-10-12,Social Media,Tablet,99.8
CUS0026,2026-07-12,Paid Ads,Desktop,37.1
CUS0027,2026-01-14,Email,Desktop,46.0
CUS0028,2026-01-18,Organic Search,Mobile,20.9
CUS0029,2025-02-16,Paid Ads,Mobile,31.5
CUS0030,2026-04-18,Referral,Desktop,37.0
CUS0031,2024-09-12,Direct,Tablet,47.0
CUS0032,2026-03-11,Organic Search,Desktop,74.1
CUS0033,2024-11-25,Paid Ads,Tablet,92.2
CUS0034,2025-06-08,Referral,Mobile,68.6
CUS0035,2026-01-27,Referral,Desktop,19.7
CUS0036,2025-09-29,Organic Search,Desktop,84.0
CUS0037,2026-05-02,Referral,Desktop,54.0
CUS0038,2025-09-24,Paid Ads,Mobile,92.9
CUS0039,2025-03-24,Organic Search,Desktop,15.7
