transaction_id,customer_id,transaction_date,category,quantity,unit_price,discount_pct,amount,device_type,channel,order_status
TXN000001,CUS0001,2026-02-21,Beauty,1,999.0,0.0,1082.25,Desktop,Organic Search,Completed
TXN000002,CUS0001,2025-12-26,Fashion,1,1999.0,0.0,2165.58,Desktop,Organic Search,Completed
TXN000003,CUS0001,2025-12-14,Beauty,3,499.0,0.1,1459.57,Desktop,Organic Search,Completed
TXN000004,CUS0001,2025-12-13,Fashion,3,999.0,0.0,3246.75,Mobile,Organic Search,Completed
TXN000005,CUS0001,2025-10-09,Fashion,2,1499.0,0.0,3247.83,Desktop,Organic Search,Completed
TXN000006,CUS0001,2025-09-12,Fashion,1,299.0,0.0,323.92,Desktop,Organic Search,Completed
TXN000007,CUS0001,2025-08-30,Sports,2,999.0,0.0,2164.5,Desktop,Organic Search,Completed
TXN000008,CUS0001,2025-08-05,Fashion,3,399.0,0.15,1102.24,Desktop,Organic Search,Returned
TXN000009,CUS0002,2026-06-02,Fashion,3,1499.0,0.0,2623.25,Desktop,Social Media,Completed
TXN000010,CUS0002,2026-01-04,Electronics,1,499.0,0.0,291.08,Desktop,Social Media,Returned
TXN000011,CUS0002,2025-12-09,Electronics,3,299.0,0.0,523.25,Desktop,Social Media,Completed
TXN000012,CUS0002,2025-10-31,Fashion,2,299.0,0.0,348.83,Desktop,Social Media,Returned
TXN000013,CUS0003,2026-02-15,Electronics,3,999.0,0.0,3246.75,Desktop,Paid Ads,Returned
TXN000014,CUS0003,2026-01-02,Electronics,1,1999.0,0.1,1949.02,Desktop,Paid Ads,Returned
TXN000015,CUS0003,2025-12-14,Electronics,2,1999.0,0.0,4331.17,Desktop,Paid Ads,Completed
TXN000016,CUS0003,2025-12-11,Electronics,2,299.0,0.05,615.44,Desktop,Paid Ads,Cancelled
TXN000017,CUS0003,2025-11-26,Sports,2,299.0,0.0,647.83,Desktop,Paid Ads,Completed
TXN000018,CUS0003,2025-11-19,Electronics,2,499.0,0.0,1081.17,Desktop,Paid Ads,Completed
TXN000019,CUS0003,2025-09-15,Electronics,3,1999.0,0.0,6496.75,Desktop,Paid Ads,Returned
TXN000020,CUS0003,2025-06-10,Home,2,299.0,0.0,647.83,Desktop,Paid Ads,Completed
TXN000021,CUS0003,2025-05-27,Beauty,3,999.0,0.0,3246.75,Desktop,Paid Ads,Completed
TXN000022,CUS0004,2026-07-26,Electronics,2,1999.0,0.0,5330.67,Mobile,Referral,Returned
TXN000023,CUS0004,2026-07-05,Electronics,1,699.0,0.0,932.0,Mobile,Referral,Completed
TXN000024,CUS0004,2026-06-21,Electronics,1,699.0,0.1,838.8,Mobile,Referral,Returned
TXN000025,CUS0004,2026-06-12,Electronics,3,1499.0,0.0,5996.0,Tablet,Referral,Completed
TXN000026,CUS0004,2026-05-07,Electronics,1,499.0,0.05,632.07,Mobile,Referral,Completed
TXN000027,CUS0004,2026-05-04,Electronics,1,999.0,0.15,1132.2,Mobile,Referral,Completed
TXN000028,CUS0004,2026-04-28,Electronics,1,399.0,0.1,478.8,Mobile,Referral,Completed
TXN000029,CUS0004,2026-02-06,Electronics,1,699.0,0.0,932.0,Mobile,Referral,Completed
TXN000030,CUS0004,2026-01-24,Electronics,1,999.0,0.2,1065.6,Mobile,Referral,Completed
TXN000031,CUS0004,2026-01-21,Electronics,3,499.0,0.0,1996.0,Mobile,Referral,Completed
TXN000032,CUS0004,2026-01-19,Home,3,999.0,0.0,3996.0,Mobile,Referral,Completed
TXN000033,CUS0004,2026-01-02,Fashion,3,299.0,0.0,1196.0,Mobile,Referral,Returned
TXN000034,CUS0004,2026-01-01,Electronics,3,499.0,0.0,1996.0,Mobile,Referral,Completed
