order_id,order_date,revenue,quantity,order_status
ORD000001,2024-01-01,802.45,2,Completed
ORD000028,2024-01-01,1264.62,3,Completed
ORD000027,2024-01-01,1456.6,2,Completed
ORD000026,2024-01-01,1787.75,1,Completed
ORD000025,2024-01-01,1198.63,3,Completed
ORD000024,2024-01-01,1188.11,1,Completed
ORD000023,2024-01-01,1387.13,3,Cancelled
ORD000022,2024-01-01,825.39,3,Completed
ORD000021,2024-01-01,1966.12,2,Returned
ORD000020,2024-01-01,1352.97,1,Completed
ORD000018,2024-01-01,1345.42,3,Completed
ORD000017,2024-01-01,1326.88,2,Completed
ORD000016,2024-01-01,1518.44,2,Completed
ORD000015,2024-01-01,1205.19,2,Completed
ORD000019,2024-01-01,1413.54,1,Completed
ORD000013,2024-01-01,1021.79,3,Completed
ORD000002,2024-01-01,1160.01,3,Completed
ORD000014,2024-01-01,1391.09,3,Completed
ORD000004,2024-01-01,1661.72,3,Completed
ORD000005,2024-01-01,835.63,4,Completed
ORD000006,2024-01-01,1801.22,4,Completed
ORD000007,2024-01-01,1888.56,2,Completed
ORD000003,2024-01-01,1057.48,4,Completed
ORD000009,2024-01-01,1152.8,4,Cancelled
ORD000010,2024-01-01,1773.54,2,Completed
ORD000011,2024-01-01,2024.47,1,Completed
ORD000012,2024-01-01,1630.83,1,Completed
ORD000008,2024-01-01,1677.79,2,Completed
ORD000041,2024-01-02,1058.31,1,Completed
ORD000050,2024-01-02,1903.46,3,Completed
ORD000049,2024-01-02,1936.87,2,Completed
ORD000048,2024-01-02,1132.31,4,Completed
ORD000047,2024-01-02,1427.29,3,Completed
ORD000046,2024-01-02,1124.34,3,Returned
ORD000045,2024-01-02,1378.51,4,Cancelled
ORD000043,2024-01-02,2080.46,1,Completed
ORD000042,2024-01-02,1546.89,1,Completed
ORD000040,2024-01-02,1401.27,2,Completed
ORD000044,2024-01-02,1772.34,2,Completed
ORD000038,2024-01-02,1415.49,3,Completed
ORD000039,2024-01-02,1811.61,2,Completed
ORD000030,2024-01-02,1967.06,4,Completed
ORD000031,2024-01-02,1305.86,4,Completed
ORD000032,2024-01-02,1913.14,3,Completed
ORD000033,2024-01-02,1703.23,3,Completed
ORD000029,2024-01-02,1401.56,2,Completed
ORD000035,2024-01-02,1349.84,3,Completed
ORD000036,2024-01-02,1323.25,2,Completed
ORD000037,2024-01-02,1774.59,1,Completed
ORD000034,2024-01-02,1832.51,3,Completed
ORD000073,2024-01-03,1828.1,1,Completed
ORD000063,2024-01-03,1142.13,1,Completed
ORD000072,2024-01-03,1412.77,2,Completed
ORD000071,2024-01-03,1663.05,3,Cancelled
ORD000070,2024-01-03,1525.77,4,Completed
ORD000069,2024-01-03,1354.16,4,Completed
ORD000068,2024-01-03,1607.57,2,Completed
ORD000067,2024-01-03,1247.99,3,Completed
ORD000066,2024-01-03,1426.74,1,Completed
ORD000065,2024-01-03,1193.85,2,Cancelled
ORD000062,2024-01-03,1763.41,1,Completed
ORD000064,2024-01-03,1761.97,2,Completed
ORD000060,2024-01-03,1852.31,1,Completed
ORD000061,2024-01-03,2001.8,2,Completed
ORD000051,2024-01-03,1018.78,4,Completed
ORD000053,2024-01-03,710.76,1,Completed
ORD000054,2024-01-03,1255.67,3,Completed
ORD000052,2024-01-03,986.35,1,Completed
ORD000056,2024-01-03,1530.78,4,Completed
ORD000057,2024-01-03,1222.02,4,Completed
ORD000058,2024-01-03,1251.34,2,Cancelled
ORD000059,2024-01-03,1378.65,2,Completed
ORD000055,2024-01-03,1710.07,2,Completed
ORD000095,2024-01-04,1302.77,4,Completed
